hs6,io185_name,io52_idx,io52_name
010310,Livestock,4,Livestock
010392,Livestock,4,Livestock
010511,PoultryEggs,4,Livestock
010594,PoultryEggs,4,Livestock
010611,OthAnimalPrd,4,Livestock
010614,OthAnimalPrd,4,Livestock
010619,OthAnimalPrd,4,Livestock
010620,OthAnimalPrd,4,Livestock
010632,PoultryEggs,4,Livestock
010639,PoultryEggs,4,Livestock
010649,OthAnimalPrd,4,Livestock
010690,OthAnimalPrd,4,Livestock
020120,Abattoir,12,FoodMan
020230,Abattoir,12,FoodMan
020319,Abattoir,12,FoodMan
020329,Abattoir,12,FoodMan
020422,Abattoir,12,FoodMan
020441,Abattoir,12,FoodMan
020680,Abattoir,12,FoodMan
020690,Abattoir,12,FoodMan
020727,Abattoir,12,FoodMan
020850,Abattoir,12,FoodMan
020890,MeatProcessg,12,FoodMan
021019,Abattoir,12,FoodMan
021020,Abattoir,12,FoodMan
021093,Abattoir,12,FoodMan
021099,Abattoir,12,FoodMan
030111,Fish,7,Fishery
030119,Fish,7,Fishery
030191,Fish,7,Fishery
030192,Fish,7,Fishery
030193,Fish,7,Fishery
030199,Fish,7,Fishery
030219,Fish,7,Fishery
030221,Fish,7,Fishery
030229,Fish,7,Fishery
030231,Fish,7,Fishery
030232,Fish,7,Fishery
030233,Fish,7,Fishery
030234,Fish,7,Fishery
030239,Fish,7,Fishery
030242,Fish,7,Fishery
030243,Fish,7,Fishery
030246,Fish,7,Fishery
030247,Fish,7,Fishery
030249,Fish,7,Fishery
030259,Fish,7,Fishery
030272,Fish,7,Fishery
030274,Fish,7,Fishery
030281,Fish,7,Fishery
030282,Fish,7,Fishery
030289,Fish,7,Fishery
030319,FishProcess,12,FoodMan
030324,FishProcess,12,FoodMan
030326,FishProcess,12,FoodMan
030329,FishProcess,12,FoodMan
030331,FishProcess,12,FoodMan
030339,FishProcess,12,FoodMan
030341,FishProcess,12,FoodMan
030342,FishProcess,12,FoodMan
030343,FishProcess,12,FoodMan
030344,FishProcess,12,FoodMan
030346,FishProcess,12,FoodMan
030349,FishProcess,12,FoodMan
030351,FishProcess,12,FoodMan
030353,FishProcess,12,FoodMan
030354,FishProcess,12,FoodMan
030355,FishProcess,12,FoodMan
030356,FishProcess,12,FoodMan
030357,FishProcess,12,FoodMan
030359,FishProcess,12,FoodMan
030369,FishProcess,12,FoodMan
030381,FishProcess,12,FoodMan
030382,FishProcess,12,FoodMan
030384,FishProcess,12,FoodMan
030389,FishProcess,12,FoodMan
030391,FishProcess,12,FoodMan
030431,FishProcess,12,FoodMan
030432,FishProcess,12,FoodMan
030439,FishProcess,12,FoodMan
030444,FishProcess,12,FoodMan
030445,FishProcess,12,FoodMan
030449,FishProcess,12,FoodMan
030454,FishProcess,12,FoodMan
030459,FishProcess,12,FoodMan
030461,FishProcess,12,FoodMan
030462,FishProcess,12,FoodMan
030469,FishProcess,12,FoodMan
030481,FishProcess,12,FoodMan
030482,FishProcess,12,FoodMan
030484,FishProcess,12,FoodMan
030487,FishProcess,12,FoodMan
030489,FishProcess,12,FoodMan
030491,FishProcess,12,FoodMan
030499,FishProcess,12,FoodMan
030510,FishProcess,12,FoodMan
030520,DriedFish,12,FoodMan
030539,DriedFish,12,FoodMan
030541,FishProcess,12,FoodMan
030549,FishProcess,12,FoodMan
030559,DriedFish,12,FoodMan
030563,DriedFish,12,FoodMan
030569,DriedFish,12,FoodMan
030571,FishProcess,12,FoodMan
030572,FishProcess,12,FoodMan
030579,FishProcess,12,FoodMan
030611,FishProcess,12,FoodMan
030612,FishProcess,12,FoodMan
030614,FishProcess,12,FoodMan
030616,FishProcess,12,FoodMan
030617,FishProcess,12,FoodMan
030619,FishProcess,12,FoodMan
030631,FishProcess,12,FoodMan
030632,FishProcess,12,FoodMan
030633,FishProcess,12,FoodMan
030635,FishProcess,12,FoodMan
030636,FishProcess,12,FoodMan
030639,FishProcess,12,FoodMan
030691,FishProcess,12,FoodMan
030692,FishProcess,12,FoodMan
030693,FishProcess,12,FoodMan
030695,FishProcess,12,FoodMan
030699,FishProcess,12,FoodMan
030711,OthAquatic,7,Fishery
030719,OthAquatic,7,Fishery
030721,OthAquatic,7,Fishery
030722,OthAquatic,7,Fishery
030729,DriedFish,12,FoodMan
030731,OthAquatic,7,Fishery
030732,OthAquatic,7,Fishery
030742,OthAquatic,7,Fishery
030743,FishProcess,12,FoodMan
030749,DriedFish,12,FoodMan
030751,OthAquatic,7,Fishery
030752,OthAquatic,7,Fishery
030759,DriedFish,12,FoodMan
030760,OthAnimalPrd,4,Livestock
030771,OthAquatic,7,Fishery
030772,OthAquatic,7,Fishery
030781,OthAquatic,7,Fishery
030783,OthAquatic,7,Fishery
030787,OthAquatic,7,Fishery
030791,OthAquatic,7,Fishery
030792,OthAquatic,7,Fishery
030799,DriedFish,12,FoodMan
030811,OthAquatic,7,Fishery
030812,OthAquatic,7,Fishery
030819,DriedFish,12,FoodMan
030821,OthAquatic,7,Fishery
030822,OthAquatic,7,Fishery
030830,OthAquatic,7,Fishery
030890,OthAquatic,7,Fishery
040110,FreshMilk,4,Livestock
040120,FreshMilk,4,Livestock
040140,FreshMilk,4,Livestock
040150,FreshMilk,4,Livestock
040210,DairyPrd,12,FoodMan
040221,DairyPrd,12,FoodMan
040229,DairyPrd,12,FoodMan
040299,DairyPrd,12,FoodMan
040310,DairyPrd,12,FoodMan
040390,DairyPrd,12,FoodMan
