io185_idx,io185_name,io52_idx,io52_name
1,Rice,1,FoodCrops
2,Corn,1,FoodCrops
3,SweetPotato,1,FoodCrops
4,Cassava,1,FoodCrops
5,OthTubers,1,FoodCrops
6,Peanuts,1,FoodCrops
7,Soy,1,FoodCrops
8,OthNuts,1,FoodCrops
9,OthGrains,1,FoodCrops
10,Vegetables,2,HortiCrops
11,DecorPlants,2,HortiCrops
12,Cane,3,Estates
13,Tobacco,3,Estates
14,PlantFiber,3,Estates
15,OthPlantaton,3,Estates
16,Fruits,2,HortiCrops
17,PlantBiophrm,2,HortiCrops
18,Rubber,3,Estates
19,Coconut,3,Estates
20,PalmOil,3,Estates
21,Coffee,3,Estates
22,Tea,3,Estates
23,Cocoa,3,Estates
24,Clove,3,Estates
25,Cashew,3,Estates
26,Livestock,4,Livestock
27,FreshMilk,4,Livestock
28,PoultryEggs,4,Livestock
29,OthAnimalPrd,4,Livestock
30,AgricSvc,5,AgricService
31,Wood,6,Forestry
32,OthForestPrd,6,Forestry
33,Fish,7,Fishery
34,Shrimps,7,Fishery
35,OthAquatic,7,Fishery
36,Seaweed,7,Fishery
37,CoalLignite,8,Coal
38,CrudeOil,9,OilGasGeo
39,NaturalGas,9,OilGasGeo
40,IronOre,10,IronOre
41,TinOre,10,IronOre
42,BauxiteOre,10,IronOre
43,CopperOre,10,IronOre
44,NickelOre,10,IronOre
45,OthMetalMine,10,IronOre
46,GoldOre,10,IronOre
47,SilverOre,10,IronOre
48,GalianPrd,10,IronOre
49,NonMetlMinrl,11,OtherMine
50,CoarseSalt,11,OtherMine
51,PetrolNatGas,11,OtherMine
52,OthMiningQry,11,OtherMine
53,Abattoir,12,FoodMan
54,MeatProcessg,12,FoodMan
55,DriedFish,12,FoodMan
56,FishProcess,12,FoodMan
57,VegFruitProc,12,FoodMan
58,EdibleOils,12,FoodMan
59,Copra,12,FoodMan
60,DairyPrd,12,FoodMan
61,OthFlour,12,FoodMan
62,WheatFlour,12,FoodMan
63,RiceMilling,12,FoodMan
64,BreadBiscuit,12,FoodMan
65,Sugar,12,FoodMan
66,Confectionry,12,FoodMan
67,PastaNoodle,12,FoodMan
68,CoffeeProc,12,FoodMan
69,TeaProc,12,FoodMan
70,SoyProcessed,12,FoodMan
71,OthFood,12,FoodMan
72,AnimalFeed,12,FoodMan
73,AlcoBeverage,12,FoodMan
74,NonAlcoBev,12,FoodMan
75,Cigarettes,13,Tobacco
76,TobaccoPrd,13,Tobacco
77,Yarn,14,Textiles
78,Textile,14,Textiles
79,RopesCarpets,14,Textiles
80,OthTextilPrd,14,Textiles
81,KnittedPrd,14,Textiles
82,Apparel,14,Textiles
83,Tanning,15,Leather
84,LeatherPrd,15,Leather
85,Footwear,15,Leather
86,SawMill,16,WoodProd
87,Plywood,16,WoodProd
88,WoodBuildMat,16,WoodProd
89,OthWoodPrdn,16,WoodProd
90,PaperPulp,17,PaperProd
91,Paper,17,PaperProd
92,PaperPrd,17,PaperProd
93,PrintedPrd,17,PaperProd
94,OthNMmetlPrd,18,NonMetalProd
95,OilAndGasRef,19,CoalOilMan
96,BasChemicals,20,Chemical
97,Fertilizer,20,Chemical
98,Plastics,20,Chemical
99,Pesticide,20,Chemical
100,Paints,20,Chemical
101,Varnish,20,Chemical
102,Soaps,20,Chemical
103,Cosmetics,20,Chemical
104,OthChemPrd,20,Chemical
105,Pharmaceutcl,20,Chemical
106,TradMedicine,20,Chemical
107,Tire,21,Rubber
108,SmokedRubber,21,Rubber
109,OthRubberPrd,21,Rubber
110,PlasticPrd,21,Rubber
111,Glass,18,NonMetalProd
112,ClayCermcPrd,18,NonMetalProd
113,Cement,18,NonMetalProd
114,BasIronSteel,22,BasicMetal
115,NonFerrMetal,22,BasicMetal
116,FoundryPrd,23,MetalProd
117,FabMetalPrd,23,MetalProd
118,WeaponsAmmo,23,MetalProd
119,DomMetalPrd,23,MetalProd
