period,cpo,coal,nickel,copper,rubber,oilgas
1960M01,233,…,1631,715.4,…,1.63
1960M02,229,…,1631,728.19,…,1.63
1960M03,225,…,1631,684.94,…,1.63
1960M04,225,…,1631,723.11,…,1.63
1960M05,225,…,1631,684.75,…,1.63
1960M06,219,…,1631,691.59,…,1.63
1960M07,221,…,1631,702.39,…,1.63
1960M08,225,…,1631,675.94,…,1.63
1960M09,224,…,1631,647.06,…,1.63
1960M10,222,…,1631,612.66,…,1.63
1960M11,222,…,1631,642.13,…,1.63
1960M12,223,…,1631,636.91,…,1.63
1961M01,223,…,1711,606.71,…,1.57
1961M02,228,…,1711,616.63,…,1.57
1961M03,231,…,1711,621.26,…,1.57
1961M04,233,…,1711,631.84,…,1.57
1961M05,234,…,1711,668.44,…,1.57
1961M06,233,…,1711,652.12,…,1.57
1961M07,229,…,1711,633.39,…,1.57
1961M08,226,…,1711,636.47,…,1.57
1961M09,226,…,1711,632.72,…,1.57
1961M10,226,…,1711,630.3,…,1.57
1961M11,226,…,1711,632.28,…,1.57
1961M12,226,…,1711,634.85,…,1.57
1962M01,235.89,…,1761,635.37,…,1.52
1962M02,237,…,1761,647.94,…,1.52
1962M03,223.22,…,1761,647.5,…,1.52
1962M04,220.46,…,1761,645.95,…,1.52
1962M05,219.08,…,1761,645.73,…,1.52
1962M06,216.33,…,1761,645.51,…,1.52
1962M07,212.75,…,1761,645.51,…,1.52
1962M08,209.16,…,1761,645.51,…,1.52
1962M09,205.3,…,1761,645.51,…,1.52
1962M10,196.76,…,1761,645.95,…,1.52
1962M11,208.06,…,1761,645.51,…,1.52
1962M12,210.82,…,1761,645.73,…,1.52
1963M01,217.71,…,1741,645.51,…,1.5
1963M02,217.71,…,1742,645.51,…,1.5
1963M03,217.71,…,1742,645.51,…,1.5
1963M04,217.71,…,1741,645.73,…,1.5
1963M05,217.71,…,1742,645.51,…,1.5
1963M06,219.91,…,1742,645.73,…,1.5
1963M07,221.84,…,1741,645.51,…,1.5
1963M08,224.6,…,1742,645.51,…,1.5
1963M09,224.6,…,1742,645.51,…,1.5
1963M10,227.35,…,1741,645.51,…,1.5
1963M11,230.11,…,1742,645.73,…,1.5
1963M12,231.76,…,1742,650.14,…,1.5
1964M01,232.86,…,1741,655.65,…,1.45
