cmdCode,cmdDesc,partnerCode,partnerISO,partnerDesc,fobvalue,primaryValue,export_usd
35,Albuminoidal substances; modified starches; glues; enzymes,218,ECU,Ecuador,6.422,6.422,6.422
95,"Toys, games and sports requisites; parts and accessories thereof",818,EGY,Egypt,64235.53,64235.53,64235.53
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",231,ETH,Ethiopia,57.58,57.58,57.58
76,Aluminium and articles thereof,231,ETH,Ethiopia,138.62,138.62,138.62
46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",566,NGA,Nigeria,0.006,0.006,0.006
52,Cotton,566,NGA,Nigeria,15984.391,15984.391,15984.391
13,"Lac; gums, resins and other vegetable saps and extracts",233,EST,Estonia,134.0,134.0,134.0
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",218,ECU,Ecuador,1146.52,1146.52,1146.52
68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",430,LBR,Liberia,0.66,0.66,0.66
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",100,BGR,Bulgaria,3939.698,3939.698,3939.698
38,Chemical products n.e.c.,800,UGA,Uganda,0.002,0.002,0.002
73,Iron or steel articles,398,KAZ,Kazakhstan,301381.0,301381.0,301381.0
72,Iron and steel,328,GUY,Guyana,564.0,564.0,564.0
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",12,DZA,Algeria,1030.82,1030.82,1030.82
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",24,AGO,Angola,28.68,28.68,28.68
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",32,ARG,Argentina,2050.3,2050.3,2050.3
76,Aluminium and articles thereof,32,ARG,Argentina,64972.398,64972.398,64972.398
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",690,SYC,Seychelles,0.002,0.002,0.002
28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",616,POL,Poland,323090.939,323090.939,323090.939
29,Organic chemicals,124,CAN,Canada,8721071.435,8721071.435,8721071.435
72,Iron and steel,398,KAZ,Kazakhstan,238213.0,238213.0,238213.0
35,Albuminoidal substances; modified starches; glues; enzymes,32,ARG,Argentina,4595.149,4595.149,4595.149
56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",729,SDN,Sudan,31.3,31.3,31.3
89,"Ships, boats and floating structures",512,OMN,Oman,40014.25,40014.25,40014.25
62,Apparel and clothing accessories; not knitted or crocheted,226,GNQ,Equatorial Guinea,0.05,0.05,0.05
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",620,PRT,Portugal,5.041,5.041,5.041
62,Apparel and clothing accessories; not knitted or crocheted,566,NGA,Nigeria,11185309.548,11185309.548,11185309.548
39,Plastics and articles thereof,218,ECU,Ecuador,340659.983,340659.983,340659.983
47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,554,NZL,New Zealand,4308.28,4308.28,4308.28
88,"Aircraft, spacecraft, and parts thereof",364,IRN,Iran,75350.006,75350.006,75350.006
61,Apparel and clothing accessories; knitted or crocheted,208,DNK,Denmark,3628887.262,3628887.262,3628887.262
38,Chemical products n.e.c.,410,KOR,Rep. of Korea,294445626.249,294445626.249,294445626.249
