hs_full,io185,hs2,hs4
01031000,Livestock,01,0103
01039200,Livestock,01,0103
01051190,PoultryEggs,01,0105
01059491,PoultryEggs,01,0105
01061100,OthAnimalPrd,01,0106
01061400,OthAnimalPrd,01,0106
01061900,OthAnimalPrd,01,0106
01062000,OthAnimalPrd,01,0106
01063200,PoultryEggs,01,0106
01063900,PoultryEggs,01,0106
01064900,OthAnimalPrd,01,0106
01069000,OthAnimalPrd,01,0106
02012000,Abattoir,02,0201
02023000,Abattoir,02,0202
02031900,Abattoir,02,0203
02032900,Abattoir,02,0203
02042200,Abattoir,02,0204
02044100,Abattoir,02,0204
02068000,Abattoir,02,0206
02069000,Abattoir,02,0206
02072799,Abattoir,02,0207
02085000,Abattoir,02,0208
02089010,MeatProcessg,02,0208
02089090,MeatProcessg,02,0208
02101990,Abattoir,02,0210
02102000,Abattoir,02,0210
02109300,Abattoir,02,0210
02109910,Abattoir,02,0210
02109990,Abattoir,02,0210
03011119,Fish,03,0301
03011191,Fish,03,0301
03011193,Fish,03,0301
03011194,Fish,03,0301
03011195,Fish,03,0301
03011199,Fish,03,0301
03011910,Fish,03,0301
03011999,Fish,03,0301
03019100,Fish,03,0301
03019200,Fish,03,0301
03019390,Fish,03,0301
03019911,Fish,03,0301
03019919,Fish,03,0301
03019921,Fish,03,0301
03019929,Fish,03,0301
03019949,Fish,03,0301
03019951,Fish,03,0301
03019952,Fish,03,0301
03019990,Fish,03,0301
03021900,Fish,03,0302
03022100,Fish,03,0302
03022900,Fish,03,0302
03023100,Fish,03,0302
03023200,Fish,03,0302
03023300,Fish,03,0302
03023400,Fish,03,0302
03023900,Fish,03,0302
03024200,Fish,03,0302
03024300,Fish,03,0302
03024600,Fish,03,0302
03024700,Fish,03,0302
03024900,Fish,03,0302
03025900,Fish,03,0302
03027210,Fish,03,0302
03027290,Fish,03,0302
03027400,Fish,03,0302
03028100,Fish,03,0302
03028200,Fish,03,0302
03028911,Fish,03,0302
03028914,Fish,03,0302
03028917,Fish,03,0302
03028918,Fish,03,0302
03028919,Fish,03,0302
03028926,Fish,03,0302
03028929,Fish,03,0302
03031900,FishProcess,03,0303
03032400,FishProcess,03,0303
03032600,FishProcess,03,0303
03032900,FishProcess,03,0303
03033100,FishProcess,03,0303
03033900,FishProcess,03,0303
03034100,FishProcess,03,0303
03034200,FishProcess,03,0303
03034300,FishProcess,03,0303
03034400,FishProcess,03,0303
03034600,FishProcess,03,0303
03034900,FishProcess,03,0303
03035100,FishProcess,03,0303
03035300,FishProcess,03,0303
03035410,FishProcess,03,0303
03035500,FishProcess,03,0303
03035600,FishProcess,03,0303
03035700,FishProcess,03,0303
03035910,FishProcess,03,0303
03035920,FishProcess,03,0303
03035990,FishProcess,03,0303
03036900,FishProcess,03,0303
03038100,FishProcess,03,0303
