io185,exp_value,share
EdibleOils,17706752680.373207,0.12200277651456483
CoalLignite,14527622400.0,0.10009798526862514
Apparel,7351572995.130526,0.050653687513780486
BasChemicals,6213634697.06052,0.04281308374114831
OilAndGasRef,6073732614.5876465,0.04184913271015099
NonFerrMetal,5992101891.428343,0.0412866820420866
ElectroncPrd,5610982179.967445,0.03866069726543137
MotorVehicle,5242921499.031025,0.03612469160642319
CrudeOil,5196776440.163086,0.03580674367966659
Footwear,4635659277.046936,0.03194054341777287
Jewelry,4162446983.446411,0.02868002384412552
CopperOre,3481556992.0,0.02398856680753864
SmokedRubber,3362145025.5507812,0.023165796437451692
Paper,3066274959.481583,0.021127197367391767
FishProcess,2974100081.753479,0.020492095538687496
Plywood,2308590766.3027344,0.01590661418324413
PrimaryMover,2138783083.2825565,0.014736608074505157
BasIronSteel,2104457479.7597237,0.014500098364852654
Yarn,1909865337.2464447,0.013159322780357535
Tire,1882865404.0051146,0.012973288283766782
NaturalGas,1845914496.0,0.01271868974428669
PaperPulp,1561523681.1741362,0.01075918482261612
OthElecEqp,1527500780.8789272,0.0105247607937712
Furniture,1470751984.109375,0.010133751166273526
OthMachinEqp,1451114891.517136,0.009998447993400824
PlasticPrd,1399343809.8221054,0.00964173573655899
Confectionry,1278086114.5917969,0.008806247956337578
Plastics,1208228064.0864954,0.008324913164047373
Textile,1134155381.3178864,0.007814538781754797
Coffee,1000642003.78125,0.006894607100585372
OthChemPrd,996709924.2166729,0.006867514350547341
DomElectEqp,976431804.3883753,0.006727794382340544
ElectEqp,934961423.349412,0.006442055843987398
SawMill,851833047.1778412,0.005869286071734326
Soaps,826011778.4689941,0.0056913727901477
Copra,816154778.75,0.00562345625256859
Cigarettes,804084352.78125,0.00554028880179523
Motorcycle,799985173.1953125,0.005512044701934359
FabMetalPrd,797114392.5937958,0.0054922644965815495
Batteries,772204231.2266846,0.00532062891183754
OthMetalPrd,709445972.0038686,0.00488821298483974
Ships,693577143.0507812,0.004778873840206104
Fertilizer,666385788.9023438,0.004591520418424968
DriedFish,624184708.5890503,0.004300747227932345
OthPlantaton,605615076.8900146,0.004172799056574733
OthTextilPrd,600108671.429482,0.0041348589121040545
Pharmaceutcl,566868805.9277191,0.0039058301367329005
MusicInstrum,552601561.9229736,0.0038075262064069795
BreadBiscuit,520815006.1640625,0.0035885110019578453
VegFruitProc,497246191.7062454,0.0034261175436588786
OthIndustPrd,496382688.83102417,0.003420167850329617
OthFood,467918603.32723236,0.0032240450758662994
WoodBuildMat,445288894.8696289,0.0030681222303067623
PaperPrd,437881938.9240494,0.0030170869440973706
CoffeeProc,428470210.69140625,0.0029522384088006785
Instruments,381701824.5785675,0.0026299956428983717
Cosmetics,376319897.0078125,0.002592913173939498
ElecMotorGen,339208178.92285156,0.0023372066234882837
ClayCermcPrd,336481072.27626944,0.0023184163580601603
Glass,318702521.8309498,0.0021959188817647197
OthRubberPrd,313176709.042881,0.002157845017244584
PlantBiophrm,307316208.2128906,0.00211746509067469
GamesAndToys,284961704.9998779,0.0019634384597716475
Pesticide,280151763.87597656,0.0019302970824349654
LeatherPrd,277548149.1946411,0.0019123576993176363
OthNMmetlPrd,262266810.03556824,0.001807066467214182
OthTrnsEqp,236943344.67858887,0.0016325831421070082
Coconut,223070560.2290039,0.0015369971105297167
OthAnimalPrd,202936013.70999146,0.0013982663887806056
Fish,198160926.2221222,0.0013653651593944994
PastaNoodle,176870073.6977539,0.001218667276997674
Aircraft,158258760.38928223,0.0010904319116992777
TobaccoPrd,155616114.03085327,0.0010722235931614687
OthForestPrd,149484020.94328308,0.0010299723460788464
DomMetalPrd,149137196.48706722,0.0010275826619066384
Paints,148393235.39697266,0.0010224566334219832
OthWoodPrdn,147667672.0659294,0.0010174573688745909
SoyProcessed,131126515.4609375,0.0009034857632956558
MedicalDvces,128904566.81134033,0.0008881761292019849
WheatFlour,128023990.40039062,0.0008821087960772511
Seaweed,127825384.6015625,0.0008807403656639331
FoundryPrd,127423224.26791382,0.0008779694071378366
Wood,125828359.625,0.0008669804969682111
SportsEquip,107624193.78417969,0.0007415504524647113
OthFlour,105952043.5295105,0.0007300290302422556
NonAlcoBev,103107646.66015625,0.0007104306136474835
PrintedPrd,103100321.94720459,0.0007103801450306001
Tanning,101286960.8523407,0.0006978857541961863
Cashew,100260568.0,0.0006908137190217711
KnittedPrd,98457494.55441284,0.0006783902119794465
Varnish,97978193.64962006,0.0006750877407569575
GalianPrd,92466744.0999527,0.0006371128415861632
Cocoa,86330795.75,0.0005948350310379891
Cement,84603798.5,0.0005829357029490751
RopesCarpets,81745052.40483952,0.0005632384175543147
RailwayEqp,81026728.61385989,0.0005582890347669715
TeaProc,74163908.296875,0.0005110029429292063
AlcoBeverage,73921333.45973969,0.0005093315577702617
OthAquatic,71416887.88703537,0.0004920754680165365
Vegetables,61702425.52277374,0.00042514103897806744
Sugar,57915588.42568207,0.00039904903620414033
DairyPrd,55679091.611694336,0.0003836391625871147
Livestock,54627738.04589844,0.0003763951435147884
Tobacco,50000534.0625,0.00034451285862244837
WasteManage,48319319.10856688,0.00033292897895799694
Fruits,43515028.04691601,0.0002998265315874405
Tea,42672415.1484375,0.0002940207740328488
OthMetalMine,42621426.78186035,0.0002936694548268574
PalmOil,39256987.65625,0.00027048785161885207
Clove,38640760.0,0.00026624192994226497
OfficeMachin,35481811.10297966,0.0002444761921324578
IronOre,31581524.0,0.00021760249799118755
AnimalFeed,31380778.65673828,0.00021621932572395153
DecorPlants,22823337.359375,0.00015725698423849318
MeatProcessg,18641113.25,0.00012844069236610066
Shrimps,10909831.0,7.517073838050676e-05
NonMetlMinrl,8385764.5,5.77794568357696e-05
Rubber,8196079.100097656,5.647248960862733e-05
SweetPotato,7582757.375,5.224659033114108e-05
TradMedicine,7501213.6640625,5.1684739193258336e-05
OthGrains,7269159.895019531,5.008584612489279e-05
Cassava,7199997.125,4.960930194278682e-05
FreshMilk,5601949.929931641,3.859846340457424e-05
Publishing,5395266.038574219,3.717437345077992e-05
