country,year,ngdp_rpch
ABW,1987,16.1
ABW,1988,18.6
ABW,1989,12.1
ABW,1990,4.0
ABW,1991,8.0
ABW,1992,5.9
ABW,1993,7.3
ABW,1994,8.2
ABW,1995,9.0
ABW,1996,1.6
ABW,1997,7.3
ABW,1998,1.3
ABW,1999,1.4
ABW,2000,8.6
ABW,2001,-2.9
ABW,2002,-0.9
ABW,2003,1.1
ABW,2004,7.2
ABW,2005,-0.5
ABW,2006,1.1
ABW,2007,3.1
ABW,2008,1.8
ABW,2009,-11.6
ABW,2010,-3.3
ABW,2011,3.6
ABW,2012,-1.2
ABW,2013,7.1
ABW,2014,1.4
ABW,2015,3.6
ABW,2016,1.2
ABW,2017,3.5
ABW,2018,3.2
ABW,2019,1.2
ABW,2020,-23.9
ABW,2021,14.7
ABW,2022,10.6
ABW,2023,8.9
ABW,2024,7.6
ABW,2025,5.6
ABW,2026,2.3
ABW,2027,2.0
ABW,2028,1.5
ABW,2029,1.4
ABW,2030,1.4
ABW,2031,1.3
ADVEC,1980,1.3
ADVEC,1981,2.3
ADVEC,1982,0.3
ADVEC,1983,3.2
ADVEC,1984,4.8
ADVEC,1985,3.7
ADVEC,1986,3.3
ADVEC,1987,3.8
ADVEC,1988,4.7
ADVEC,1989,4.0
ADVEC,1990,3.0
ADVEC,1991,1.6
ADVEC,1992,2.2
ADVEC,1993,1.2
ADVEC,1994,3.3
ADVEC,1995,2.9
ADVEC,1996,3.1
ADVEC,1997,3.5
ADVEC,1998,2.7
ADVEC,1999,3.6
ADVEC,2000,4.2
ADVEC,2001,1.6
ADVEC,2002,1.7
ADVEC,2003,2.0
ADVEC,2004,3.2
ADVEC,2005,2.9
ADVEC,2006,3.1
ADVEC,2007,2.8
ADVEC,2008,0.3
ADVEC,2009,-3.4
ADVEC,2010,3.1
ADVEC,2011,1.7
ADVEC,2012,1.2
ADVEC,2013,1.5
ADVEC,2014,2.2
ADVEC,2015,2.4
ADVEC,2016,1.8
ADVEC,2017,2.6
ADVEC,2018,2.3
ADVEC,2019,1.9
ADVEC,2020,-3.9
ADVEC,2021,6.1
ADVEC,2022,3.1
ADVEC,2023,1.7
ADVEC,2024,1.8
ADVEC,2025,1.9
ADVEC,2026,1.8
ADVEC,2027,1.7
ADVEC,2028,1.7
ADVEC,2029,1.6
ADVEC,2030,1.5
ADVEC,2031,1.5
AFG,2003,8.7
AFG,2004,0.7
AFG,2005,11.8
AFG,2006,5.4
AFG,2007,13.3
AFG,2008,3.9
AFG,2009,20.6
AFG,2010,8.4
AFG,2011,6.5
AFG,2012,14.0
AFG,2013,5.7
AFG,2014,2.7
AFG,2015,1.0
AFG,2016,2.2
AFG,2017,2.6
AFG,2018,1.2
AFG,2019,3.9
AFG,2020,-2.4
AFG,2021,-14.5
AFG,2022,-6.2
AFG,2023,2.3
AFG,2024,1.9
AFG,2025,3.0
AFQ,1991,1.9
AFQ,1992,0.2
AFQ,1993,1.0
AFQ,1994,2.5
AFQ,1995,2.8
AFQ,1996,5.0
AFQ,1997,3.2
AFQ,1998,4.0
AFQ,1999,2.9
AFQ,2000,4.2
AFQ,2001,4.6
AFQ,2002,5.4
AFQ,2003,5.3
AFQ,2004,6.1
AFQ,2005,5.9
AFQ,2006,5.8
AFQ,2007,6.1
AFQ,2008,5.3
AFQ,2009,3.4
AFQ,2010,6.4
AFQ,2011,3.1
AFQ,2012,5.7
AFQ,2013,3.8
AFQ,2014,4.0
AFQ,2015,3.4
AFQ,2016,2.0
AFQ,2017,3.5
AFQ,2018,3.4
AFQ,2019,2.9
AFQ,2020,-2.3
AFQ,2021,4.1
AFQ,2022,4.5
AFQ,2023,3.5
AFQ,2024,3.4
AFQ,2025,4.5
AFQ,2026,4.2
AFQ,2027,4.4
AFQ,2028,4.7
AFQ,2029,4.6
AFQ,2030,4.5
AFQ,2031,4.5
AGO,1980,2.4
AGO,1981,-4.4
AGO,1982,0.0
AGO,1983,4.2
AGO,1984,6.0
AGO,1985,3.5
AGO,1986,2.9
AGO,1987,4.1
AGO,1988,6.1
AGO,1989,0.0
AGO,1990,-3.5
AGO,1991,12.1
AGO,1992,11.4
AGO,1993,11.0
AGO,1994,10.5
AGO,1995,10.4
AGO,1996,11.2
AGO,1997,7.3
AGO,1998,4.7
AGO,1999,2.2
AGO,2000,3.1
AGO,2001,4.2
AGO,2002,13.7
AGO,2003,3.5
AGO,2004,11.4
AGO,2005,14.1
AGO,2006,11.8
AGO,2007,13.0
AGO,2008,10.8
AGO,2009,2.0
AGO,2010,5.3
AGO,2011,3.6
AGO,2012,8.5
AGO,2013,4.9
AGO,2014,4.7
AGO,2015,0.8
AGO,2016,-1.7
AGO,2017,-0.1
AGO,2018,-0.6
AGO,2019,-0.2
AGO,2020,-4.0
AGO,2021,2.1
AGO,2022,4.2
AGO,2023,1.3
AGO,2024,5.0
AGO,2025,3.1
AGO,2026,2.3
AGO,2027,2.6
AGO,2028,2.8
AGO,2029,3.0
AGO,2030,3.0
AGO,2031,3.1
ALB,1980,2.7
ALB,1981,5.7
ALB,1982,2.9
ALB,1983,1.1
ALB,1984,2.0
ALB,1985,-1.5
ALB,1986,5.6
ALB,1987,-0.8
ALB,1988,-1.4
ALB,1989,9.8
ALB,1990,-10.0
ALB,1991,-28.0
ALB,1992,-7.2
ALB,1993,9.6
ALB,1994,9.4
ALB,1995,8.9
ALB,1996,9.1
ALB,1997,-10.9
ALB,1998,8.8
ALB,1999,12.9
ALB,2000,6.9
ALB,2001,8.3
ALB,2002,4.5
ALB,2003,5.5
ALB,2004,5.5
ALB,2005,5.5
ALB,2006,5.9
ALB,2007,6.0
ALB,2008,7.5
ALB,2009,3.4
ALB,2010,3.7
ALB,2011,2.5
ALB,2012,1.4
ALB,2013,1.0
ALB,2014,1.8
ALB,2015,2.2
ALB,2016,3.9
ALB,2017,3.3
ALB,2018,3.7
ALB,2019,2.1
ALB,2020,-3.3
ALB,2021,9.0
ALB,2022,4.8
ALB,2023,4.0
ALB,2024,4.0
