,1100,1200,1300,1400,1500,1600,1700,1800,1900,2100,3100,3200,3300,3400,3500,3600,5100,5200,5300,6100,6200,6300,6400,6500,7100,7200,7300,7400,7500,7600,8100,8200,9100,9400
s01,-2.54060160368681E-0002,-2.20120996236801E-0002,-2.79111191630363E-0002,-2.41014026105404E-0002,-2.22105402499437E-0002,-2.02982071787119E-0002,-2.62826588004827E-0002,-2.75600366294384E-0002,-2.00139489024878E-0002,-1.46349919959903E-0002,-2.07298099994659E-0002,-2.28516198694706E-0002,-2.81771514564753E-0002,-3.30197028815746E-0002,-2.59204953908920E-0002,-1.88470017164946E-0002,-2.52228900790215E-0002,-2.19162814319134E-0002,-2.81035713851452E-0002,-2.32985708862543E-0002,-2.13724505156279E-0002,-2.39428486675024E-0002,-1.91749334335327E-0002,-2.18195728957653E-0002,-2.71349716931582E-0002,-2.59822756052017E-0002,-2.85833962261677E-0002,-2.70043779164553E-0002,-2.54596099257469E-0002,-2.86427028477192E-0002,-2.80813816934824E-0002,-2.47188899666071E-0002,-2.21339687705040E-0002,-2.42728479206562E-0002
s02,-1.44888181239367E-0002,-1.91883537918329E-0002,-1.68663319200277E-0002,-1.36639913544059E-0002,-2.27464158087969E-0002,-1.38204125687480E-0002,-1.50772100314498E-0002,-1.55243296176195E-0002,-1.17463758215308E-0002,-8.39149672538042E-0003,-1.31354257464409E-0002,-1.06825008988380E-0002,-1.36251645162702E-0002,-1.48417586460710E-0002,-1.25247053802013E-0002,-8.07422120124102E-0003,-1.45235043019056E-0002,-1.24178463593125E-0002,-1.28450756892562E-0002,-1.32697410881519E-0002,-1.17013081908226E-0002,-1.21962474659085E-0002,-1.12468786537647E-0002,-1.21674947440624E-0002,-1.29252746701241E-0002,-1.11925406381488E-0002,-1.10898483544588E-0002,-1.44674004986882E-0002,-1.16131436079741E-0002,-1.17237148806453E-0002,-1.00769288837910E-0002,-1.14523060619831E-0002,-9.30053927004337E-0003,-9.41805262118578E-0003
s03,-5.13061806559563E-0002,-3.84447053074837E-0002,-5.28427772223949E-0002,-3.47612947225571E-0002,-4.99643795192242E-0002,-5.40960840880871E-0002,-5.02187199890614E-0002,-6.27992525696754E-0002,-4.52618412673473E-0002,-1.88075359910727E-0002,-5.54465688765049E-0002,-4.02467586100101E-0002,-3.57498899102211E-0002,-4.86815609037876E-0002,-3.99034209549427E-0002,-3.84219773113728E-0002,-4.69328500330448E-0002,-3.71142402291298E-0002,-5.42255118489265E-0002,-4.18702177703381E-0002,-3.39213833212852E-0002,-4.02760766446590E-0002,-3.70109342038631E-0002,-4.12290990352631E-0002,-5.20293265581131E-0002,-4.80713397264481E-0002,-5.40446303784847E-0002,-4.70102317631245E-0002,-4.76210825145245E-0002,-4.89503107964993E-0002,-5.27112036943436E-0002,-5.25132976472378E-0002,-4.65042032301426E-0002,-4.74620610475540E-0002
s04,-7.33726993203163E-0002,-6.75743594765663E-0002,-7.67466351389885E-0002,-4.61909249424934E-0002,-5.06740733981132E-0002,-5.58745972812176E-0002,-5.74925728142262E-0002,-6.41969814896584E-0002,-5.19035160541534E-0002,-6.99443593621254E-0002,-3.16064544022083E-0002,-3.80847379565239E-0002,-5.01147806644440E-0002,-6.68243989348412E-0002,-6.36994913220406E-0002,-3.38201895356178E-0002,-9.47626978158951E-0002,-9.31117981672287E-0002,-1.60014033317566E-0001,-7.24459141492844E-0002,-5.90229965746403E-0002,-6.24522306025028E-0002,-5.31926043331623E-0002,-3.56456860899925E-0002,-9.64105501770973E-0002,-7.21922665834427E-0002,-5.84002323448658E-0002,-4.48882430791855E-0002,-1.43352583050728E-0001,-8.27174484729767E-0002,-3.14842760562897E-0002,-4.22465093433857E-0002,-5.73942139744759E-0002,-8.98828729987144E-0002
s05,-3.91019545495510E-0002,-3.45498509705067E-0002,-4.27235625684261E-0002,-3.33761349320412E-0002,-4.57314401865006E-0002,-4.64990660548210E-0002,-4.08292599022388E-0002,-4.24073934555054E-0002,-4.08270955085754E-0002,-1.91969256848097E-0002,7.73971376474947E-0004,-2.26188190281391E-0002,-2.62619983404875E-0002,-3.08781508356333E-0002,-2.88763884454966E-0002,-2.14781165122986E-0002,-3.03783770650625E-0002,-2.40541063249111E-0002,-3.82916256785393E-0002,-3.90890911221504E-0002,-3.17923016846180E-0002,-3.46013568341732E-0002,-3.39959263801575E-0002,-3.44582349061966E-0002,-3.51712405681610E-0002,-3.94641980528831E-0002,-3.37740741670132E-0002,-3.00616119056940E-0002,-3.20380404591560E-0002,-4.23739440739155E-0002,-3.30828949809074E-0002,-4.25151325762272E-0002,-3.77621650695801E-0002,-3.39763723313808E-0002
s06,-2.60772742331028E-0002,-2.43921559303999E-0002,-2.52071134746075E-0002,-2.51059737056494E-0002,-2.56762709468603E-0002,-2.39339638501406E-0002,-2.41239927709103E-0002,-2.28974074125290E-0002,-2.14741900563240E-0002,-1.67826041579247E-0002,-1.76032632589340E-0002,-1.70768499374390E-0002,-2.83500030636787E-0002,-2.91163865476847E-0002,-2.60513126850128E-0002,-1.49603607133031E-0002,-2.42023356258869E-0002,-2.42386944591999E-0002,-2.28458940982819E-0002,-2.80932933092117E-0002,-2.55215801298618E-0002,-2.85638608038425E-0002,-2.54578404128551E-0002,-2.70404089242220E-0002,-2.31772623956203E-0002,-2.71809156984091E-0002,-2.29361653327942E-0002,-2.60559562593698E-0002,-2.14230213314295E-0002,-2.51555684953928E-0002,-2.10016164928675E-0002,-2.46460940688848E-0002,-2.73490734398365E-0002,-2.72837691009045E-0002
s07,-7.67793599516153E-0003,-8.37116595357656E-0003,-8.50301235914230E-0003,-9.53074730932713E-0003,-7.11750611662865E-0003,-7.31058558449149E-0003,-7.76219833642244E-0003,-7.27444328367710E-0003,-6.12235441803932E-0003,-8.76203924417496E-0003,-4.34561911970377E-0003,-5.59656554833055E-0003,-8.19958560168743E-0003,-7.60086532682180E-0003,-1.00895715877414E-0002,-4.60190791636705E-0003,-1.02903945371509E-0002,-8.04574228823185E-0003,-1.36720985174179E-0002,-7.86458514630794E-0003,-9.26548335701227E-0003,-8.34511499851942E-0003,-9.89125762134790E-0003,-1.36231034994125E-0002,-9.60715021938086E-0003,-1.00345211103559E-0002,-1.16728292778134E-0002,-1.04182753711939E-0002,-8.61358456313610E-0003,-9.96636599302292E-0003,-1.14874690771103E-0002,-9.76033322513103E-0003,-8.90138838440180E-0003,-8.12787003815174E-0003
s08,-1.83437094092369E-0002,-1.60080511122942E-0002,-2.03094910830259E-0002,-1.73621419817209E-0002,-1.81066039949656E-0002,-1.81329157203436E-0002,-1.92194320261478E-0002,-1.92779786884785E-0002,-1.56662035733461E-0002,-1.17393825203180E-0002,-1.86519753187895E-0002,-1.68525483459234E-0002,-1.82203128933907E-0002,-2.03932151198387E-0002,-1.67323146015406E-0002,-1.40726845711470E-0002,-1.80506594479084E-0002,-1.74111444503069E-0002,-1.84522420167923E-0002,-1.80836804211140E-0002,-1.59139242023230E-0002,-1.89961697906256E-0002,-1.65816117078066E-0002,-1.73034649342298E-0002,-1.78245101124048E-0002,-1.83806009590626E-0002,-1.95746216922998E-0002,-1.86321679502726E-0002,-1.72501113265753E-0002,-1.83757133781910E-0002,-1.93224661052227E-0002,-1.86983495950699E-0002,-1.84146966785192E-0002,-1.87566541135311E-0002
s09,-1.39423348009586E-0002,-1.20212407782674E-0002,-1.47535577416420E-0002,-1.28516778349876E-0002,-1.28831779584289E-0002,-1.30159603431821E-0002,-1.35366646572948E-0002,-1.40805523842573E-0002,-1.17119830101728E-0002,-7.61235039681196E-0003,-1.63561161607504E-0002,-1.17363678291440E-0002,-1.27999680116773E-0002,-1.51667781174183E-0002,-1.24621568247676E-0002,-1.16978948935866E-0002,-1.34717822074890E-0002,-1.28661198541522E-0002,-1.25140203163028E-0002,-1.38692203909159E-0002,-1.15528237074614E-0002,-1.46512119099498E-0002,-1.19578493759036E-0002,-1.31506165489554E-0002,-1.34293893352151E-0002,-1.26035073772073E-0002,-1.29897631704807E-0002,-1.39966383576393E-0002,-1.28372889012098E-0002,-1.39077482745051E-0002,-1.58862490206957E-0002,-1.38230640441179E-0002,-1.34553713724017E-0002,-1.40307592228055E-0002
